n, time
6240,31
6250,31
6260,31
6270,31
6280,32
6290,31
6300,30
6310,31
6320,31
6330,31
6340,31
6350,30
6360,31
6370,30
6380,31
6390,32
6400,32
6410,33
6420,33
6430,33
6440,32
6450,32
6460,31
6470,31
6480,34
6490,33
6500,31
6510,32
6520,33
6530,32
6540,33
6550,33
6560,33
6570,32
6580,33
6590,33
6600,36
6610,32
6620,33
6630,33
6640,33
6650,32
6660,33
6670,32
6680,33
6690,32
6700,32
6710,33
6720,33
6730,32
6740,34
6750,32
6760,31
6770,31
6780,31
6790,31
6800,31
6810,31
6820,32
6830,31
6840,31
6850,31
6860,31
6870,31
6880,31
6890,31
6900,31
6910,31
6920,31
6930,31
6940,31
6950,31
6960,31
6970,31
6980,34
6990,33
7000,32
7010,33
7020,32
7030,33
7040,32
7050,33
7060,30
7070,31
7080,34
7090,33
7100,32
7110,33
7120,33
7130,33
7140,32
7150,33
7160,32
7170,32
7180,51
7190,31
7200,31
7210,31
7220,31
7230,31
7240,31
7250,31
7260,31
7270,31
7280,31
7290,31
7300,30
7310,31
7320,30
7330,31
7340,31
7350,30
7360,30
7370,30
7380,31
7390,31
7400,31
7410,30
7420,31
7430,30
7440,31
7450,31
7460,31
7470,30
7480,30
7490,31
7500,33
7510,31
7520,33
7530,31
7540,31
7550,32
7560,31
7570,31
7580,31
7590,31
7600,33
7610,34
7620,30
7630,31
7640,31
7650,31
7660,33
7670,33
7680,33
7690,47
7700,33
7710,32
7720,33
7730,33
7740,32
7750,46
7760,31
7770,31
7780,31
7790,31
7800,31
7810,31
7820,31
7830,31
7840,31
7850,30
7860,31
7870,31
7880,31
7890,31
7900,30
7910,31
7920,31
7930,31
7940,30
7950,31
7960,31
7970,31
7980,31
7990,31
8000,31
8010,31
8020,34
8030,33
8040,30
8050,30
8060,31
8070,30
8080,30
8090,30
8100,30
8110,30
8120,33
8130,34
8140,32
8150,32
8160,33
8170,53
8180,33
8190,33
8200,32
8210,32
8220,33
8230,33
8240,32
8250,33
8260,33
8270,33
8280,33
8290,33
8300,32
8310,32
8320,31
8330,31
8340,31
8350,31
8360,31
8370,31
8380,31
8390,31
8400,30
8410,31
8420,31
8430,33
8440,33
8450,33
8460,32
8470,33
8480,33
8490,32
8500,31
8510,33
8520,33
8530,31
8540,30
8550,30
8560,30
8570,31
8580,50
8590,33
8600,32
8610,33
8620,33
8630,33
8640,36
8650,33
8660,32
8670,32
8680,32
8690,33
8700,33
8710,33
8720,33
8730,33
8740,33
8750,32
8760,32
8770,32
8780,34
8790,33
8800,32
8810,31
8820,31
8830,31
8840,30
8850,31
8860,30
8870,31
8880,30
8890,32
8900,32
8910,33
8920,33
8930,32
8940,31
8950,31
8960,47
8970,31
8980,31
8990,30
9000,33
9010,33
9020,31
9030,31
9040,31
9050,30
9060,31
9070,31
9080,32
9090,31
9100,32
9110,33
9120,34
9130,32
9140,32
9150,33
9160,33
9170,32
9180,33
9190,33
9200,33
9210,32
9220,33
9230,33
9240,34
9250,33
9260,33
9270,33
9280,33
9290,47
9300,33
9310,33
9320,33
9330,33
9340,33
9350,33
9360,33
9370,33
9380,33
9390,34
9400,33
9410,33
9420,34
9430,33
9440,33
9450,33
9460,33
9470,33
9480,34
9490,33
9500,33
9510,33
9520,33
9530,34
9540,34
9550,34
9560,34
9570,33
9580,33
9590,33
9600,33
9610,33
9620,34
9630,34
9640,33
9650,34
9660,53
9670,33
9680,33
9690,33
9700,34
9710,33
9720,33
9730,34
9740,33
9750,33
9760,33
9770,33
9780,34
9790,34
9800,33
9810,33
9820,33
9830,33
9840,34
9850,33
9860,33
9870,33
9880,33
9890,34
9900,33
9910,34
9920,33
9930,63
9940,33
9950,32
9960,33
9970,33
9980,33
9990,33
