n, time
0,31
10,31
20,32
30,31
40,31
50,30
60,31
70,30
80,31
90,31
100,31
110,31
120,31
130,31
140,31
150,30
160,31
170,31
180,31
190,33
200,32
210,33
220,33
230,32
240,32
250,32
260,32
270,32
280,33
290,32
300,33
310,32
320,32
330,32
340,33
350,32
360,32
370,32
380,33
390,33
400,32
410,33
420,53
430,32
440,32
450,32
460,33
470,32
480,32
490,32
500,33
510,33
520,32
530,32
540,33
550,32
560,33
570,32
580,32
590,33
600,32
610,32
620,31
630,31
640,31
650,31
660,30
670,31
680,31
690,30
700,31
710,30
720,30
730,31
740,30
750,31
760,31
770,30
780,31
790,31
800,31
810,30
820,31
830,30
840,31
850,31
860,31
870,31
880,31
890,31
900,30
910,31
920,33
930,33
940,31
950,30
960,30
970,31
980,30
990,30
1000,30
1010,31
1020,33
1030,33
1040,32
1050,33
1060,32
1070,33
1080,33
1090,33
1100,32
1110,32
1120,33
1130,31
1140,32
1150,33
1160,31
1170,30
1180,30
1190,31
1200,31
1210,31
1220,31
1230,30
1240,31
1250,30
1260,32
1270,32
1280,33
1290,32
1300,31
1310,44
1320,31
1330,31
1340,31
1350,31
1360,31
1370,31
1380,31
1390,31
1400,31
1410,31
1420,33
1430,33
1440,30
1450,31
1460,31
1470,31
1480,31
1490,30
1500,30
1510,31
1520,31
1530,33
1540,34
1550,32
1560,33
1570,33
1580,33
1590,33
1600,33
1610,32
1620,32
1630,33
1640,33
1650,33
1660,33
1670,33
1680,33
1690,33
1700,33
1710,34
1720,34
1730,33
1740,33
1750,33
1760,33
1770,33
1780,33
1790,33
1800,33
1810,33
1820,33
1830,33
1840,33
1850,33
1860,33
1870,33
1880,33
1890,33
1900,33
1910,33
1920,33
1930,33
1940,33
1950,33
1960,33
1970,33
1980,31
1990,33
2000,33
2010,33
2020,33
2030,33
2040,33
2050,33
2060,33
2070,33
2080,46
2090,32
2100,32
2110,32
2120,32
2130,33
2140,33
2150,32
2160,33
2170,33
2180,33
2190,33
2200,33
2210,33
2220,33
2230,33
2240,33
2250,32
2260,33
2270,32
2280,33
2290,33
2300,32
2310,32
2320,33
2330,33
2340,33
2350,33
2360,33
2370,33
2380,33
2390,33
2400,33
2410,32
2420,31
2430,31
2440,31
2450,31
2460,33
2470,33
2480,30
2490,31
2500,31
2510,31
2520,32
2530,32
2540,33
2550,32
2560,33
2570,33
2580,32
2590,31
2600,46
2610,31
2620,31
2630,31
2640,31
2650,31
2660,31
2670,30
2680,31
2690,31
2700,30
2710,31
2720,31
2730,31
2740,31
2750,31
2760,31
2770,31
2780,31
2790,31
2800,31
2810,31
2820,31
2830,31
2840,31
2850,31
2860,31
2870,31
2880,34
2890,33
2900,31
2910,30
2920,31
2930,30
2940,30
2950,31
2960,30
2970,31
2980,33
2990,33
3000,31
3010,32
3020,33
3030,33
3040,33
3050,33
3060,33
3070,31
3080,32
3090,31
3100,32
3110,32
3120,31
3130,31
3140,31
3150,31
3160,31
3170,31
3180,31
3190,31
3200,31
3210,31
3220,31
3230,31
3240,31
3250,31
3260,31
3270,30
3280,31
3290,31
3300,31
3310,31
3320,31
3330,30
3340,31
3350,31
3360,31
3370,31
3380,31
3390,31
3400,34
3410,33
3420,30
3430,31
3440,31
3450,30
3460,31
3470,30
3480,31
3490,30
3500,31
3510,33
3520,34
3530,32
3540,33
3550,33
3560,32
3570,33
3580,32
3590,31
3600,32
3610,30
3620,31
3630,31
3640,31
3650,31
3660,31
3670,31
3680,31
3690,31
3700,31
3710,49
3720,32
3730,32
3740,32
3750,32
3760,32
3770,31
3780,31
3790,30
3800,31
3810,31
3820,31
3830,31
3840,31
3850,31
3860,30
3870,31
3880,32
3890,33
3900,33
3910,33
3920,33
3930,32
3940,34
3950,33
3960,31
3970,31
3980,30
3990,31
4000,30
4010,33
4020,33
4030,32
4040,33
4050,33
4060,33
4070,32
4080,33
4090,33
4100,32
4110,33
4120,32
4130,33
4140,33
4150,48
4160,33
4170,33
4180,33
4190,33
4200,33
4210,33
4220,33
4230,33
4240,33
4250,32
4260,33
4270,31
4280,31
4290,31
4300,31
4310,31
4320,31
4330,31
4340,31
4350,31
4360,31
4370,31
4380,31
4390,31
4400,60
4410,33
4420,32
4430,33
4440,32
4450,33
4460,32
4470,32
4480,33
4490,33
4500,33
4510,33
4520,33
4530,33
4540,33
4550,34
4560,32
4570,33
4580,33
4590,32
4600,33
4610,37
4620,32
4630,32
4640,33
4650,32
4660,33
4670,32
4680,33
4690,33
4700,33
4710,33
4720,33
4730,34
4740,34
4750,33
4760,33
4770,34
4780,33
4790,33
4800,33
4810,33
4820,34
4830,33
4840,34
4850,33
4860,33
4870,34
4880,33
4890,33
4900,33
4910,33
4920,34
4930,33
4940,33
4950,33
4960,33
4970,33
4980,33
4990,33
5000,33
5010,33
5020,30
5030,31
5040,31
5050,30
5060,31
5070,31
5080,31
5090,30
5100,30
5110,30
5120,30
5130,30
5140,31
5150,30
5160,30
5170,30
5180,31
5190,31
5200,30
5210,31
5220,30
5230,31
5240,30
5250,31
5260,31
5270,31
5280,31
5290,31
5300,31
5310,31
5320,31
5330,31
5340,31
5350,32
5360,31
5370,31
5380,31
5390,31
5400,31
5410,31
5420,31
5430,30
5440,31
5450,31
5460,33
5470,33
5480,32
5490,33
5500,33
5510,32
5520,34
5530,34
5540,34
5550,31
5560,31
5570,31
5580,30
5590,33
5600,34
5610,38
5620,32
5630,32
5640,33
5650,33
5660,33
5670,33
5680,32
5690,33
5700,33
5710,33
5720,33
5730,33
5740,33
5750,32
5760,32
5770,50
5780,31
5790,31
5800,31
5810,31
5820,31
5830,31
5840,31
5850,31
5860,31
5870,31
5880,31
5890,31
5900,31
5910,31
5920,31
5930,31
5940,31
5950,31
5960,31
5970,31
5980,31
5990,33
6000,33
6010,31
6020,30
6030,30
6040,30
6050,31
6060,30
6070,31
6080,31
6090,47
6100,34
6110,34
6120,33
6130,33
6140,33
6150,33
6160,32
6170,33
6180,51
6190,33
6200,32
6210,33
6220,33
6230,31
