n, time
5630,6529
5640,6677
5650,6716
5660,6816
5670,6678
5680,6723
5690,6675
5700,6715
5710,6718
5720,6768
5730,7130
5740,7598
5750,6908
5760,6894
5770,6808
5780,10132
5790,6867
5800,6848
5810,6898
5820,6839
5830,6907
5840,6241
5850,6435
5860,6275
5870,6196
5880,6156
5890,6185
5900,6198
5910,6358
5920,6375
5930,6197
5940,6243
5950,6236
5960,6282
5970,6396
5980,6359
5990,6266
6000,6279
6010,6347
6020,6685
6030,6929
6040,6443
6050,6559
6060,6396
6070,6506
6080,6430
6090,6630
6100,6398
6110,6389
6120,6413
6130,6527
6140,6448
6150,6425
6160,6504
6170,6486
6180,6851
6190,6615
6200,6565
6210,6470
6220,6588
6230,6502
6240,6566
6250,6572
6260,6645
6270,6521
6280,6695
6290,6691
6300,6812
6310,6556
6320,6614
6330,6685
6340,6640
6350,6725
6360,6614
6370,6686
6380,6772
6390,6628
6400,6697
6410,6744
6420,6687
6430,6778
6440,6809
6450,6719
6460,6738
6470,6837
6480,6755
6490,6776
6500,6769
6510,7295
6520,6831
6530,6808
6540,6825
6550,6965
6560,7716
6570,9274
6580,7809
6590,6871
6600,6902
6610,7037
6620,7092
6630,6915
6640,6955
6650,6934
6660,6991
6670,6975
6680,6977
6690,7065
6700,7036
6710,7061
6720,7532
6730,7702
6740,7083
6750,7067
6760,7064
6770,7094
6780,7118
6790,7132
6800,7107
6810,7114
6820,7219
6830,7144
6840,7165
6850,7188
6860,7161
6870,7204
6880,7310
6890,7678
6900,8538
6910,10327
6920,8806
6930,8592
6940,7778
6950,7323
6960,7331
6970,7710
6980,7307
6990,7464
7000,7335
7010,7488
7020,7328
7030,7781
7040,7316
7050,7331
7060,7640
7070,7420
7080,7519
7090,7374
7100,7848
7110,7654
7120,7579
7130,7777
7140,9794
7150,7669
7160,7631
7170,7648
7180,7730
7190,7619
7200,7651
7210,7763
7220,7766
7230,7725
7240,7697
7250,8555
7260,7952
7270,7728
7280,7829
7290,7733
7300,7789
7310,8203
7320,8149
7330,8190
7340,7660
7350,7712
7360,8063
7370,7697
7380,7700
